language,module,category,deck_id,deck_title,deck_description,item_index,prompt,answer,answers_json,plural_answers_json,infinitive,translation,form_label,tense_tag,person_tag,is_imperfect,source_rank,source_text,story_id,story_title,story_level,story_unlock_percent,story_target_cefr,story_difficulty_notes,story_approx_word_count,story_text,raw_json
es,verbs,infinitivo,ser,ser,to be,1,infinitivo,ser,"[""ser""]",,ser,to be,infinitivo,infinitivo,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""infinitivo"", ""answer"": ""ser"", ""tenseTag"": ""infinitivo"", ""personTag"": null}}"
es,verbs,gerundio,ser,ser,to be,2,gerundio,siendo,"[""siendo""]",,ser,to be,gerundio,gerundio,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""gerundio"", ""answer"": ""siendo"", ""tenseTag"": ""gerundio"", ""personTag"": null}}"
es,verbs,participio,ser,ser,to be,3,participio,sido,"[""sido""]",,ser,to be,participio,participio,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""participio"", ""answer"": ""sido"", ""tenseTag"": ""participio"", ""personTag"": null}}"
es,verbs,presente,ser,ser,to be,4,presente - yo,soy,"[""soy""]",,ser,to be,presente - yo,presente,yo,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""presente - yo"", ""answer"": ""soy"", ""tenseTag"": ""presente"", ""personTag"": ""yo""}}"
es,verbs,presente,ser,ser,to be,5,presente - tú,eres,"[""eres""]",,ser,to be,presente - tú,presente,tú,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""presente - tú"", ""answer"": ""eres"", ""tenseTag"": ""presente"", ""personTag"": ""tú""}}"
es,verbs,presente,ser,ser,to be,6,presente - vos,sos,"[""sos""]",,ser,to be,presente - vos,presente,vos,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""presente - vos"", ""answer"": ""sos"", ""tenseTag"": ""presente"", ""personTag"": ""vos""}}"
es,verbs,presente,ser,ser,to be,7,presente - él/ella/usted,es,"[""es""]",,ser,to be,presente - él/ella/usted,presente,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""presente - él/ella/usted"", ""answer"": ""es"", ""tenseTag"": ""presente"", ""personTag"": ""él_ella_usted""}}"
es,verbs,presente,ser,ser,to be,8,presente - nosotros,somos,"[""somos""]",,ser,to be,presente - nosotros,presente,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""presente - nosotros"", ""answer"": ""somos"", ""tenseTag"": ""presente"", ""personTag"": ""nosotros""}}"
es,verbs,presente,ser,ser,to be,9,presente - vosotros,sois,"[""sois""]",,ser,to be,presente - vosotros,presente,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""presente - vosotros"", ""answer"": ""sois"", ""tenseTag"": ""presente"", ""personTag"": ""vosotros""}}"
es,verbs,presente,ser,ser,to be,10,presente - ellos/ellas/ustedes,son,"[""son""]",,ser,to be,presente - ellos/ellas/ustedes,presente,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""presente - ellos/ellas/ustedes"", ""answer"": ""son"", ""tenseTag"": ""presente"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,imperfecto,ser,ser,to be,11,imperfecto - yo,era,"[""era""]",,ser,to be,imperfecto - yo,imperfecto,yo,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperfecto - yo"", ""answer"": ""era"", ""tenseTag"": ""imperfecto"", ""personTag"": ""yo""}}"
es,verbs,imperfecto,ser,ser,to be,12,imperfecto,eras,"[""eras""]",,ser,to be,imperfecto,imperfecto,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperfecto"", ""answer"": ""eras"", ""tenseTag"": ""imperfecto"", ""personTag"": null}}"
es,verbs,imperfecto,ser,ser,to be,13,imperfecto - él/ella/usted,era,"[""era""]",,ser,to be,imperfecto - él/ella/usted,imperfecto,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperfecto - él/ella/usted"", ""answer"": ""era"", ""tenseTag"": ""imperfecto"", ""personTag"": ""él_ella_usted""}}"
es,verbs,imperfecto,ser,ser,to be,14,imperfecto - nosotros,éramos,"[""éramos""]",,ser,to be,imperfecto - nosotros,imperfecto,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperfecto - nosotros"", ""answer"": ""éramos"", ""tenseTag"": ""imperfecto"", ""personTag"": ""nosotros""}}"
es,verbs,imperfecto,ser,ser,to be,15,imperfecto - vosotros,erais,"[""erais""]",,ser,to be,imperfecto - vosotros,imperfecto,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperfecto - vosotros"", ""answer"": ""erais"", ""tenseTag"": ""imperfecto"", ""personTag"": ""vosotros""}}"
es,verbs,imperfecto,ser,ser,to be,16,imperfecto - ellos/ellas/ustedes,eran,"[""eran""]",,ser,to be,imperfecto - ellos/ellas/ustedes,imperfecto,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""imperfecto - ellos/ellas/ustedes"", ""answer"": ""eran"", ""tenseTag"": ""imperfecto"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,indefinido,ser,ser,to be,17,indefinido - yo,fui,"[""fui""]",,ser,to be,indefinido - yo,indefinido,yo,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""indefinido - yo"", ""answer"": ""fui"", ""tenseTag"": ""indefinido"", ""personTag"": ""yo""}}"
es,verbs,indefinido,ser,ser,to be,18,indefinido,fuiste,"[""fuiste""]",,ser,to be,indefinido,indefinido,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""indefinido"", ""answer"": ""fuiste"", ""tenseTag"": ""indefinido"", ""personTag"": null}}"
es,verbs,indefinido,ser,ser,to be,19,indefinido - él/ella/usted,fue,"[""fue""]",,ser,to be,indefinido - él/ella/usted,indefinido,él_ella_usted,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""indefinido - él/ella/usted"", ""answer"": ""fue"", ""tenseTag"": ""indefinido"", ""personTag"": ""él_ella_usted""}}"
es,verbs,indefinido,ser,ser,to be,20,indefinido - nosotros,fuimos,"[""fuimos""]",,ser,to be,indefinido - nosotros,indefinido,nosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""indefinido - nosotros"", ""answer"": ""fuimos"", ""tenseTag"": ""indefinido"", ""personTag"": ""nosotros""}}"
es,verbs,indefinido,ser,ser,to be,21,indefinido - vosotros,fuisteis,"[""fuisteis""]",,ser,to be,indefinido - vosotros,indefinido,vosotros,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""indefinido - vosotros"", ""answer"": ""fuisteis"", ""tenseTag"": ""indefinido"", ""personTag"": ""vosotros""}}"
es,verbs,indefinido,ser,ser,to be,22,indefinido - ellos/ellas/ustedes,fueron,"[""fueron""]",,ser,to be,indefinido - ellos/ellas/ustedes,indefinido,ellos_ellas_ustedes,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""indefinido - ellos/ellas/ustedes"", ""answer"": ""fueron"", ""tenseTag"": ""indefinido"", ""personTag"": ""ellos_ellas_ustedes""}}"
es,verbs,futuro,ser,ser,to be,23,futuro - yo,seré,"[""seré""]",,ser,to be,futuro - yo,futuro,yo,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""futuro - yo"", ""answer"": ""seré"", ""tenseTag"": ""futuro"", ""personTag"": ""yo""}}"
es,verbs,futuro,ser,ser,to be,24,futuro,serás,"[""serás""]",,ser,to be,futuro,futuro,,,,,,,,,,,,,"{""verb"": ""ser"", ""form"": {""label"": ""futuro"", ""answer"": ""serás"", ""tenseTag"": ""futuro"", ""personTag"": null}}"
